elapsed_s,tag_hex_id,position_x,position_y,yaw_map
20.333,0xC0,0.1,0.0731,354.56
20.384,0xC0,0.1,0.1062,354.56
20.428,0xC0,0.1,0.1306,353.94
20.431,0xC0,0.1,0.1422,353.94
20.434,0xC0,0.1,0.1586,353.94
20.487,0xC0,0.1,0.2146,353.94
20.49,0xC0,0.1,0.217,353.94
20.495,0xC0,0.1,0.2188,353.94
20.63,0xC0,0.1,0.2561,355.12
20.633,0xC0,0.1,0.1993,355.12
20.637,0xC0,0.0442,0.1626,355.12
20.64,0xC0,0.0729,0.1435,355.12
20.644,0xC0,0.0933,0.1273,355.12
20.646,0xC0,0.1091,0.1119,355.12
20.649,0xC0,0.1225,0.0983,355.12
20.652,0xC0,0.1341,0.0864,355.12
20.656,0xC0,0.1422,0.0858,355.12
20.68,0xC0,0.1483,0.0948,355.12
20.734,0xC0,0.1555,0.0851,355.62
20.736,0xC0,0.1412,0.0582,355.62
20.739,0xC0,0.1024,0.0367,355.62
20.742,0xC0,0.0582,0.0225,355.62
20.835,0xC0,0.0054,0.1,357.81
20.838,0xC0,0.1,0.0147,357.81
20.842,0xC0,0.1,0.0451,357.81
20.845,0xC0,0.1,0.0726,357.81
20.85,0xC0,0.1,0.0968,357.81
20.854,0xC0,0.1,0.1189,357.81
20.858,0xC0,0.1,0.143,357.81
20.861,0xC0,0.1,0.166,357.81
20.886,0xC0,0.1,0.1938,358.12
20.889,0xC0,0.1,0.2135,358.12
20.894,0xC0,0.1,0.2312,358.12
20.898,0xC0,0.1,0.247,358.12
21.009,0xC0,0.1,0.3141,359.69
21.057,0xC0,0.1,0.3501,0.06
21.059,0xC0,0.1,0.3697,0.06
21.062,0xC0,0.1,0.3805,0.06
21.101,0xC0,0.1,0.4107,0.0
21.104,0xC0,0.1,0.4163,0.0
21.147,0xC0,0.1,0.4456,0.0
21.15,0xC0,0.1,0.4676,0.0
21.154,0xC0,0.1,0.4868,0.0
21.364,0xC0,0.1,0.6378,0.19
21.422,0xC0,0.1,0.7036,359.19
21.426,0xC0,0.1,0.7467,359.19
21.43,0xC0,0.1,0.7721,359.19
21.433,0xC0,0.1,0.7926,359.19
21.437,0xC0,0.1,0.808,359.19
21.44,0xC0,0.1,0.8147,359.19
21.548,0xC0,0.1,0.9131,358.12
21.551,0xC0,0.1,0.8975,358.12
21.556,0xC0,0.1,0.8861,358.12
21.751,0xC0,0.1,1.015,356.81
21.806,0xC0,0.1,1.0084,356.81
21.809,0xC0,0.1,1.0026,356.81
21.813,0xC0,0.1,1.0008,356.81
21.965,0xC0,0.1,1.1056,356.81
21.969,0xC0,0.1,1.116,356.81
21.973,0xC0,0.1,1.1234,356.81
21.977,0xC0,0.1,1.1295,356.81
21.982,0xC0,0.1,1.1339,356.81
21.987,0xC0,0.1,1.1653,357.25
21.992,0xC0,0.1,1.1899,357.75
21.997,0xC0,0.1,1.2131,358.06
22.0,0xC0,0.1,1.2488,358.25
22.005,0xC0,0.1,1.2814,358.69
22.007,0xC0,0.1,1.3051,358.69
22.011,0xC0,0.1,1.3248,358.69
22.016,0xC0,0.1,1.3396,359.06
22.023,0xC0,0.1,1.354,359.06
22.028,0xC0,0.1,1.3696,359.06
22.031,0xC0,0.1,1.3805,359.06
22.035,0xC0,0.1,1.3969,359.06
22.037,0xC0,0.1,1.4085,359.06
22.041,0xC0,0.1,1.4126,359.06
22.045,0xC0,0.1,1.4158,359.06
22.069,0xC0,0.1,1.4396,359.38
22.073,0xC0,0.1,1.4417,359.62
22.077,0xC0,0.1,1.4426,359.62
22.08,0xC0,0.1,1.4429,359.62
22.174,0xC0,0.1,1.5382,0.38
22.178,0xC0,0.1,1.5418,0.38
22.182,0xC0,0.1,1.5452,0.38
22.269,0xC0,0.1,1.6291,0.81
22.274,0xC0,0.1,1.6247,0.81
22.281,0xC0,0.1,1.6215,0.81
22.286,0xC0,0.1,1.6175,0.81
22.292,0xC0,0.1,1.6214,0.81
22.301,0xC0,0.1,1.6236,0.81
22.37,0xC0,0.1,1.681,1.19
22.373,0xC0,0.1,1.6803,1.19
22.378,0xC0,0.1,1.6802,1.19
22.382,0xC0,0.1,1.6814,1.19
22.387,0xC0,0.1,1.6834,1.19
22.39,0xC0,0.1,1.6864,1.19
22.396,0xC0,0.1,1.6897,1.19
22.399,0xC0,0.1,1.6904,1.19
22.426,0xC0,0.1,1.7104,1.19
22.432,0xC0,0.1,1.7105,1.19
22.437,0xC0,0.1,1.7174,1.19
22.442,0xC0,0.1,1.719,1.19
22.449,0xC0,0.1,1.7228,1.19
22.583,0xC0,0.1,1.8251,1.25
22.586,0xC0,0.1,1.8185,1.25
22.589,0xC0,0.1,1.812,1.25
22.592,0xC0,0.1,1.8072,1.25
22.598,0xC0,0.1,1.8041,1.25
22.605,0xC0,0.1,1.81,1.25
22.614,0xC0,0.1,1.8155,1.25
22.619,0xC0,0.1,1.8206,1.25
22.626,0xC0,0.1,1.8246,1.25
22.631,0xC0,0.1,1.8329,1.25
22.636,0xC0,0.1,1.8384,1.25
22.679,0xC0,0.1,1.8714,0.5
22.684,0xC0,0.1,1.8764,0.5
22.692,0xC0,0.1,1.8807,0.5
22.698,0xC0,0.1,1.8842,0.5
22.704,0xC0,0.1,1.8874,0.5
22.733,0xC0,0.1,1.9076,0.06
22.735,0xC0,0.1,1.9075,0.06
22.888,0xC0,0.1,1.9997,359.62
22.892,0xC0,0.1,1.9849,359.62
22.897,0xC0,0.1,1.9741,359.62
22.9,0xC0,0.1,1.9644,359.62
22.905,0xC0,0.1,1.9692,359.62
22.907,0xC0,0.1,1.9753,359.62
22.91,0xC0,0.1,1.9834,359.62
22.914,0xC0,0.1,1.9978,359.62
22.917,0xC0,0.1,2.0098,359.62
22.92,0xC0,0.1,2.0114,359.62
22.925,0xC0,0.1,2.0152,359.62
22.929,0xC0,0.1,2.0314,359.62
22.936,0xC0,0.1,2.0481,359.19
22.938,0xC0,0.1,2.0759,359.19
22.941,0xC0,0.1,2.092,359.19
22.944,0xC0,0.1,2.0979,359.19
22.947,0xC0,0.1,2.1006,359.19
22.987,0xC0,0.1,2.1317,358.81
23.09,0xC0,0.1,2.2253,358.81
23.093,0xC0,0.1,2.2335,358.81
23.099,0xC0,0.1,2.2409,358.81
23.102,0xC0,0.1,2.2485,358.81
23.107,0xC0,0.1,2.2551,358.81
23.111,0xC0,0.1,2.2627,358.81
23.117,0xC0,0.1,2.2687,358.81
23.138,0xC0,0.1,2.2904,359.0
23.141,0xC0,0.1,2.2943,359.0
23.147,0xC0,0.1,2.2975,359.0
23.153,0xC0,0.1,2.3018,359.0
23.16,0xC0,0.1,2.3084,359.0
23.188,0xC0,0.1,2.3325,359.44
23.192,0xC0,0.1,2.3377,359.44
